"Subnational gas consumption, Great Britain, 2011",,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
,Great Britain,All local authorities,,"22,838.8",274.7,"23,113.5","324,430","188,736","513,166","14,205","686,985","22,202"
,England,All local authorities,,"19,780.0",238.9,"20,019.0","280,025","156,617","436,642","14,157","655,546","21,811"
UKC,North East,All local authorities,,"1,082.9",11.5,"1,094.4","15,616","8,768","24,383","14,420","762,154","22,281"
UKD,North West,All local authorities,,"2,846.5",32.5,"2,879.0","40,475","26,261","66,735","14,219","806,952","23,180"
UKE,Yorkshire and The Humber,All local authorities,,"2,090.2",25.0,"2,115.2","30,883","21,877","52,759","14,775","874,782","24,942"
UKF,East Midlands,All local authorities,,"1,726.0",19.4,"1,745.3","25,007","14,307","39,313","14,489","739,128","22,525"
UKG,West Midlands,All local authorities,,"2,076.5",24.4,"2,100.9","29,548","16,258","45,805","14,230","665,702","21,803"
UKH,East,All local authorities,,"2,018.5",23.2,"2,041.8","28,852","16,374","45,226","14,294","704,647","22,151"
UKI,London,All local authorities,,"3,002.0",42.7,"3,044.6","42,078","21,837","63,915","14,017","511,916","20,993"
UKJ,South East,All local authorities,,"3,145.5",40.4,"3,185.8","45,345","20,065","65,410","14,416","497,284","20,532"
UKK,South West,All local authorities,,"1,792.0",19.8,"1,811.9","22,223","10,871","33,094","12,401","548,132","18,265"
UKL,Wales,All local authorities,,"1,103.6",10.8,"1,114.4","14,997","9,691","24,688","13,590","893,336","22,154"
UKM,Scotland,All local authorities,,"1,922.4",24.7,"1,947.0","28,959","22,179","51,137","15,064","898,734","26,264"
