"Subnational electricity consumption, Great Britain, 2010",,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
,Great Britain,All local authorities,"27,208.9","2,382.1","29,591.0","112,856","185,106","297,961","4,148","77,705","10,069","4,443"
,England,All local authorities,"23,024.9","2,021.4","25,046.3","95,863","154,420","250,284","4,163","76,393","9,993","4,409"
UKC,North East,All local authorities,"1,192.9",79.8,"1,272.7","4,250","7,892","12,143","3,563","98,849","9,541","3,816"
UKD,North West,All local authorities,"3,134.2",234.6,"3,368.8","12,555","20,777","33,332","4,006","88,565","9,894","4,234"
UKE,Yorkshire and The Humber,All local authorities,"2,332.2",175.8,"2,507.9","9,000","15,676","24,676","3,859","89,192","9,839","4,105"
UKF,East Midlands,All local authorities,"1,976.3",153.5,"2,129.8","8,109","13,075","21,184","4,103","85,177","9,947","4,334"
UKG,West Midlands,All local authorities,"2,363.7",191.8,"2,555.5","9,913","15,005","24,918","4,194","78,245","9,751","4,380"
UKH,East,All local authorities,"2,534.9",212.2,"2,747.1","11,361","15,958","27,319","4,482","75,206","9,945","4,751"
UKI,London,All local authorities,"3,377.6",399.9,"3,777.5","13,468","28,245","41,714","3,988","70,631","11,043","4,199"
UKJ,South East,All local authorities,"3,698.6",328.4,"4,027.0","16,538","23,459","39,997","4,471","71,429","9,932","4,718"
UKK,South West,All local authorities,"2,414.5",245.4,"2,659.9","10,669","14,333","25,001","4,419","58,401","9,399","4,781"
UKL,Wales,All local authorities,"1,369.1",123.7,"1,492.8","5,361","10,457","15,818","3,916","84,541","10,596","4,139"
UKM,Scotland,All local authorities,"2,741.8",212.2,"2,954.0","11,372","16,019","27,391","4,148","75,499","9,272","4,809"
,Unallocated,All local authorities,73.0,24.9,97.9,259,"4,210","4,469","3,553","169,185","45,656",
